Entity,Code,"GDP growth from previous year, 2020 Q2"
Austria,AUT,-13.3
Belgium,BEL,-14.5
Bulgaria,BGR,-8.2
Canada,CAN,-13.494697
Chile,CHL,-13.682773
China,CHN,3.2
Colombia,COL,-15.7
Cyprus,CYP,-11.9
Czech Republic,CZE,-10.7
Denmark,DNK,-8.5
EU,,-14.1
Euro area,,-15
Finland,FIN,-5.2
France,FRA,-19
G7,,-12.106082
Germany,DEU,-11.7
Hungary,HUN,-13.5
Indonesia,IDN,-5.36783
Israel,ISR,-7.766077
Italy,ITA,-17.3
Japan,JPN,-10.00138
Latvia,LVA,-9.6
Lithuania,LTU,-3.7
Malaysia,MYS,-17.1
Mexico,MEX,-18.967486
NAFTA,,-10.786266
Netherlands,NLD,-9
Nigeria,NGA,-6.1
Norway,NOR,-5.331291
OECD - Total,,-10.9
Peru,PER,-30.2358063
Philippines,PHL,-16.5
Poland,POL,-7.9
Portugal,PRT,-16.3
Romania,ROU,-10.5
Singapore,SGP,-13.2
Slovakia,SVK,-12.1
South Korea,KOR,-2.957828
Spain,ESP,-22.1
Sweden,SWE,-8.3
Taiwan,TWN,-0.58
Tunisia,TUN,-21.6
United Kingdom,GBR,-21.7
United States,USA,-9.5